# Tag name          ;  color
Schuylkill County   ; #eae788
TRS                 ; #ff510c
Radio Direction Finding; #aaaa00
Aircraft            ; #aaffff
Utilities           ; #4d5fc0
Satellite           ; #905353
Digital/DMR         ; #aa55ff
Transportation      ; #5bc03f
Voice               ; #00aa7f
Ham                 ; #00aa7f
Untagged            ; #c0c0c0
Public Works        ; #c0629f
Data                ; #00ffff

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
     1490000; WONN-FM                  ; AM                  ;      10000; Voice
   117300000; KLNS LRP                 ; AM                  ;       5000; Radio Direction Finding,Aircraft
   120900000; KLNS Tower               ; AM                  ;      10000; Aircraft,Voice
   121800000; KLNS Ground Control      ; AM                  ;      10000; Aircraft,Voice
   122950000; KLNS Unicom              ; AM                  ;      10000; Aircraft,Voice
   123050000; Smoketown Ground Control ; AM                  ;      10000; Aircraft
   125675000; KLNS Automated Weather   ; AM                  ;      10000; Aircraft,Voice
   126450000; KLNS Approach/Departure (KMDT Harrisburg); AM                  ;      10000; Aircraft
   130169000; ISS Comms                ; Narrow FM           ;      10000; Satellite,Voice
   136770000; NOAA 9 (DEAD)            ; Narrow FM           ;      10000; Satellite
   136975000; Orbcomm                  ; Narrow FM           ;      10000; Data,Satellite
   137100000; NOAA 19                  ; Narrow FM           ;      25000; Data,Satellite
   137620000; NOAA 15                  ; Narrow FM           ;      25000; Data,Satellite
   137890000; Meteor M2                ; Narrow FM           ;      10000; Data,Satellite
   137912500; NOAA 18                  ; Narrow FM           ;      25000; Data,Satellite
   143697700; ?                        ; Narrow FM           ;      10000; Untagged
   144000000; Start of 2M Band         ; Demod Off           ;          0; Ham
   144060000; 2M QRP CW                ; CW-U                ;        500; Ham
   144200000; 2M SSB Calling           ; Narrow FM           ;      10000; Ham,Voice
   144285000; 2M QRP Voice             ; Narrow FM           ;      10000; Ham,Voice
   144390000; APRS                     ; Narrow FM           ;      10000; Data
   144489000; WSPR Net Dial            ; Narrow FM           ;      10000; Data,Ham
   144990000; APRS?                    ; Narrow FM           ;       5000; Data
   145110000; W3ND Harrisburg          ; Narrow FM           ;      10000; Ham,Voice
   145150000; K3TI Reading             ; Narrow FM           ;      10000; Digital/DMR,Ham
   145170000; AA3RG Pine Grove         ; Narrow FM           ;      10000; Schuylkill County,Voice
   145210000; WB3EYB Harrisburg        ; Narrow FM           ;      10000; Ham,Voice
   145230000; K3IR Manheim             ; Narrow FM           ;      10000; Ham
   145250000; KB3OZC Stowe             ; Narrow FM           ;      10000; Ham,Voice
   145270000; N3TWT Mechanicsburg      ; Narrow FM           ;      10000; Ham,Voice
   145290000; W3ND Harrisburg          ; Narrow FM           ;      20000; Ham,Voice
   145310000; N3FYI Lancaster          ; Narrow FM           ;      10000; Ham
   145370000; W3SC Delano              ; Narrow FM           ;      10000; Schuylkill County
   145390000; W3AD Cornwall            ; Narrow FM           ;      10000; Ham,Voice
   145450000; W3XP Ephrata             ; Narrow FM           ;      10000; Ham,Voice
   145470000; W3ND Harrisburg          ; Narrow FM           ;      10000; Ham,Voice
   145490000; K3TI Reading             ; Narrow FM           ;      10000; Ham,Voice
   145610000; K3NCY New Holland        ; Narrow FM           ;      10000; Ham,Voice
   145800000; ISS Voice/SSTV           ; Narrow FM           ;      10000; Satellite,Voice
   145825000; ISS APRS                 ; Narrow FM           ;      10000; Satellite
   145880000; RadFxSat (Fox-1D) AO-92  ; Narrow FM           ;      10000; Satellite
   145960000; RadFxSat (Fox-1B) AO-91  ; Narrow FM           ;      10000; Satellite,Voice
   145980000; AO-85 (FOX-1A)           ; Narrow FM           ;      10000; Satellite
   146445000; KB3TWW - Etters          ; Narrow FM           ;      19800; Digital/DMR,Ham
   146460000; N3TWT Mechanicsburg      ; AM                  ;      10000; Ham,Voice
   146490000; W3TWA Tamaqua            ; Narrow FM           ;      10000; Schuylkill County
   146520000; 2M National Simplex Call ; Narrow FM           ;      10000; Ham,Voice
   146610000; K3NCY New Holland        ; Narrow FM           ;      10000; Ham,Voice
   146625000; KA3KDL Reading           ; Narrow FM           ;      10000; Ham,Voice
   146640000; AA3RG Pine Grove         ; Narrow FM           ;      10000; Ham,Schuylkill County
   146685000; N3TWT Landisburg         ; Narrow FM           ;      10000; Digital/DMR,Ham
   146700000; K3AE Shrewsberry         ; Narrow FM           ;      10000; Ham,Voice
   146745000; KX3B Buck                ; Narrow FM           ;      10000; Ham,Voice
   146760000; W3UU Harrisburg          ; Narrow FM           ;      15400; Ham,Voice
   146820000; K2SNY Richfield          ; Narrow FM           ;      10000; Ham,Voice
   146865000; W3ZGD Red Lion           ; Narrow FM           ;      10000; Ham,Voice
   146880000; W3WAN Lebanon            ; Narrow FM           ;      10000; Ham,Voice
   146910000; W3BN Reading             ; Narrow FM           ;      10000; Ham,Voice
   146925000; W3WAN York               ; Narrow FM           ;      10000; Ham,Voice
   146940000; W3EOC West Chester       ; Narrow FM           ;      10000; Ham,Voice
   146955000; W3SC Joliett             ; Narrow FM           ;      10000; Schuylkill County,Voice
   146970000; W3HZU York               ; Narrow FM           ;      10000; Ham,Voice
   146985000; W3GMS Chester            ; Narrow FM           ;      20000; Ham,Voice
   147015000; W3RRR LGH                ; Narrow FM           ;      10000; Ham,Voice
   147075000; KB3NIA - Ellendale       ; Narrow FM           ;      10000; Ham,Voice
   147105000; KA0JQO Cornwall          ; Narrow FM           ;      10000; Digital/DMR,Ham
   147165000; K3LV Grantville          ; Narrow FM           ;      10000; Ham,Voice
   147180000; K2SEH Reading            ; Narrow FM           ;      10000; Ham,Voice
   147210000; K3ZMC Earlville PAARC    ; Narrow FM           ;      20000; Ham,Voice
   147270000; Tamaqua W3TWA            ; Narrow FM           ;      10000; Schuylkill County
   147285000; N3SWH - Newmanstown      ; Narrow FM           ;      10000; Ham,Voice
   147300000; N3NJB Steelton           ; Narrow FM           ;      10000; Ham,Voice
   147315000; K3LV Cornwall            ; Narrow FM           ;      10000; Voice
   147330000; W3MUM - Hanover          ; Narrow FM           ;      15400; Ham,Voice
   147345000; W3SC Pottsville          ; Narrow FM           ;      15400; Schuylkill County,Voice
   147375000; W3ND Harrisburg          ; Narrow FM           ;      15400; Digital/DMR,Voice
   147390000; Hegins KB3VXB            ; Narrow FM           ;      10000; Schuylkill County
   147480000; W3WAN Lebanon Input      ; Narrow FM           ;      10000; Ham
   147615000; W3RRR Input              ; Narrow FM           ;      10000; Ham
   147765000; K3LV Input               ; Narrow FM           ;      10000; Voice
   148000000; End of 2M Band           ; Demod Off           ;          0; Ham
   148150000; ?                        ; Narrow FM           ;      10000; Untagged
   150830000; Black Rock Retreat       ; Narrow FM           ;      10000; Voice
   150995000; Mountville Borough PD    ; Narrow FM           ;      10000; Public Works,Voice
   151085000; West Lampeter PD         ; Narrow FM           ;      10000; Public Works,Voice
   151137500; Shendandoah Fire/Police  ; Narrow FM           ;      10000; Schuylkill County
   151175000; Cressona DPW             ; Narrow FM           ;      10000; Schuylkill County
   151205000; New Holland Boro PD      ; Narrow FM           ;      10000; Public Works,Voice
   151220000; Berks County Fire/EMS    ; Narrow FM           ;      10000; Public Works,Voice
   151250000; Martindale Fire Company  ; Narrow FM           ;      10000; Voice
   151325000; Schuylkill County EMS    ; Narrow FM           ;      10000; Schuylkill County
   151415000; Pottsville PDW/PD        ; Narrow FM           ;      10000; Schuylkill County
   151520000; DART Production Ops      ; Narrow FM           ;      10000; Voice
   151580000; Shultz Lancaster District 1; Narrow FM           ;      10000; Transportation
   151595000; Hotel Ch1 Maintenance    ; Narrow FM           ;      10000; Voice
   151625000; West Penn Fire Police    ; Narrow FM           ;      10000; Schuylkill County
   151715000; Dutch Wonderland - Maintenance; Narrow FM           ;      10000; Voice
   151730000; Groff Bus Service        ; Narrow FM           ;      10000; Transportation
   151745000; Dutch Wonderland - Security; Narrow FM           ;      10000; Voice
   151790000; R R Donnelley & Sons     ; Narrow FM           ;      10000; Voice
   151820000; MURS 1                   ; Narrow FM           ;       5000; Voice
   151850000; R R Donnelley & Sons     ; Narrow FM           ;      10000; Voice
   151880000; MURS 2                   ; Narrow FM           ;       5000; Voice
   151895000; Graybill Bus Manheim     ; Narrow FM           ;      10000; Transportation
   151925000; Dutch Wonderland - Retail; Narrow FM           ;      10000; Voice
   151940000; MURS 3                   ; Narrow FM           ;       5000; Voice
   151955000; Dutch Wonderland - Food Service; Narrow FM           ;      10000; Voice
   151955000; Schuylkill County Prison ; Narrow FM           ;      10000; Schuylkill County
   152007500; KTI564 Lanc Medical      ; Narrow FM           ;      20000; Public Works,Utilities
   152180000; POCSAG                   ; Narrow FM           ;      20000; Data
   152345000; DART Building 4          ; Narrow FM           ;      10000; Voice
   152375000; WPXP704 Bradford Airport ; Narrow FM           ;      10000; Aircraft,Utilities
   152390000; Yellow Cab               ; Narrow FM           ;      10000; Transportation
   152420000; Hotel Ch2 Housekeeping   ; Narrow FM           ;      10000; Voice
   152450000; Columbia Borough School District; Narrow FM           ;      10000; Voice
   152450000; DART Building 13/14      ; Narrow FM           ;      10000; Voice
   152450000; Kunzler                  ; Narrow FM           ;      10000; Voice
   152465000; DART Maintenance         ; Narrow FM           ;      10000; Voice
   152900000; Rohrers Quarry           ; Narrow FM           ;      10000; Voice
   152915000; Dutch Wonderland - Environmental Services; Narrow FM           ;      10000; Voice
   152945000; Althouse Transportation (Octorara SD); Narrow FM           ;      10000; Transportation
   153095000; DART Shipping/Yard jockeys; Narrow FM           ;      10000; Voice
   153235000; DART 1st Responders      ; Narrow FM           ;      10000; Voice
   153507500; WGH429 Peach Bottom      ; Narrow FM           ;      10000; Utilities
   153785000; New Holland Boro PD      ; Narrow FM           ;      10000; Voice
   154002500; Fivepointville Ambulance Tactical; Narrow FM           ;      10000; Voice
   154025000; Ephrata Twp PD           ; Narrow FM           ;      10000; Voice
   154055000; Lancaster County Constables; Narrow FM           ;      10000; Voice
   154100000; West Hempfield Twp PD - Tactical; Narrow FM           ;      10000; Voice
   154490000; Rohrers Quarry (Trucks)  ; Narrow FM           ;      10000; Voice
   154540000; Quarryville Presbyterian Retirement Community; Narrow FM           ;      10000; Voice
   154570000; MURS 'Blue Dot'          ; Narrow FM           ;      10000; Voice
   154570000; Lancaster County Constables; Narrow FM           ;      10000; Voice
   154570000; Hometown Walmart         ; Narrow FM           ;      10000; Schuylkill County
   154600000; MURS 'Green Dot'         ; Narrow FM           ;      10000; Voice
   154600000; WAWA Lancaster           ; Narrow FM           ;      10000; Voice
   154600000; Ryan Township Police     ; Narrow FM           ;      10000; Schuylkill County
   154845000; Ephrata Boro PD          ; Narrow FM           ;      10000; Public Works
   154876000; Lancaster City Police Department; Narrow FM           ;      20000; Voice
   154890000; Ephrata Borough PD       ; Narrow FM           ;      10000; Voice
   154965000; Manheim Twp PD           ; Narrow FM           ;      10000; Voice
   154980000; Canervon Twp PD          ; Narrow FM           ;      10000; Voice
   155017500; New Holland EMS          ; Narrow FM           ;      10000; Voice
   155085000; Rapho Twp PD             ; Narrow FM           ;      10000; Voice
   155100000; East Earl PD             ; Narrow FM           ;      10000; Voice
   155130000; Columbia PD              ; Narrow FM           ;      10000; Voice
   155145000; Denver/Cocalico PD       ; Narrow FM           ;      10000; Voice
   155145000; Mount Joy - Tactical     ; Narrow FM           ;      10000; Voice
   155160000; Emergency Strike Team (WEST) - Portable Repeater; Narrow FM           ;      10000; Voice
   155175000; Groff Bus service        ; Narrow FM           ;      10000; Transportation
   155205000; Geib Bus                 ; Narrow FM           ;      10000; Transportation
   155235000; Shultz Bus Service       ; Narrow FM           ;      10000; Transportation
   155310000; East Cocalilco PD        ; Narrow FM           ;      10000; Voice
   155340000; Lancaster EMS            ; Narrow FM           ;      10000; Voice
   155370000; Millersville University PD; Narrow FM           ;      10000; Voice
   155407500; Lancaster EMS Association; Narrow FM           ;      10000; Voice
   155500000; Marine SEA L1            ; Narrow FM           ;      10000; Voice,Transportation
   155520000; Elizabethtown PD         ; Narrow FM           ;      10000; Voice
   155525000; Marine SEA L2            ; Narrow FM           ;      10000; Voice,Transportation
   155595000; East Lampeter PD         ; Narrow FM           ;      10000; Voice
   155625000; Marine SEA F1            ; Narrow FM           ;      10000; Voice,Transportation
   155655000; Manheim Twp PD           ; Narrow FM           ;      10000; Voice
   155655000; Manheim Twp Police       ; Narrow FM           ;      10000; Voice
   155685000; Lancaster County Police Dispatch; Narrow FM           ;      10000; Voice
   155715000; Millersville PD          ; Narrow FM           ;      10000; Voice
   155745000; Lancaster Airport Security; Narrow FM           ;      10000; Voice
   155775000; Marine SEA F2            ; Narrow FM           ;      10000; Voice,Transportation
   155775000; Warwick PD - Tactical    ; Narrow FM           ;      10000; Voice
   155825000; Marine SEA F3            ; Narrow FM           ;      10000; Voice,Transportation
   155880000; East Hempfield Twp PD    ; Narrow FM           ;      10000; Voice
   155880000; Manor Twp PD - Tactical  ; Narrow FM           ;      10000; Voice
   155925000; Warwick Twp PD           ; Narrow FM           ;      10000; Voice
   155955000; Bart Twp PD              ; Narrow FM           ;      10000; Voice
   156015000; Penn Twp PD              ; Narrow FM           ;      10000; Voice
   156120000; Pequea Twp PD            ; Narrow FM           ;      10000; Voice
   156195000; PA Turnpike Commission   ; Narrow FM           ;      10000; Transportation,Voice
   156240000; Susquehanna Regional Police; Narrow FM           ;      10000; Voice
   156300000; Marine SEA 06            ; Narrow FM           ;      10000; Voice,Transportation
   156375000; Marine SEA 67            ; Narrow FM           ;      10000; Voice,Transportation
   156400000; Marine SEA 08            ; Narrow FM           ;      10000; Voice,Transportation
   156425000; Marine SEA 68            ; Narrow FM           ;      10000; Voice,Transportation
   156450000; Marine SEA 09            ; Narrow FM           ;      10000; Voice,Transportation
   156475000; Marine SEA 69            ; Narrow FM           ;      10000; Voice,Transportation
   156500000; Marine SEA 10            ; Narrow FM           ;      10000; Voice,Transportation
   156525000; Marine DSC 70            ; Narrow FM           ;      10000; Voice,Transportation
   156550000; Marine SEA 11            ; Narrow FM           ;      10000; Voice,Transportation
   156575000; Marine SEA 71            ; Narrow FM           ;      10000; Voice,Transportation
   156600000; Marine SEA 12            ; Narrow FM           ;      10000; Voice,Transportation
   156625000; Marine SEA 72            ; Narrow FM           ;      10000; Voice,Transportation
   156650000; Marine SEA 13            ; Narrow FM           ;      10000; Voice,Transportation
   156675000; Marine SEA 73            ; Narrow FM           ;      10000; Voice,Transportation
   156700000; Marine SEA 14            ; Narrow FM           ;      10000; Voice,Transportation
   156725000; Marine SEA 74            ; Narrow FM           ;      10000; Voice,Transportation
   156750000; Marine SEA 15            ; Narrow FM           ;      10000; Voice,Transportation
   156800000; Marine SEA 16            ; Narrow FM           ;      10000; Voice,Transportation
   156850000; Marine SEA 17            ; Narrow FM           ;      10000; Voice,Transportation
   156875000; Marine SEA 77            ; Narrow FM           ;      10000; Voice,Transportation
   157597500; Fivepointville Ambulance ; Narrow FM           ;      10000; Voice
   157620000; Schuylkill Mall          ; Narrow FM           ;      10000; Schuylkill County
   158745000; Mount Joy Twp - Tactical ; Narrow FM           ;      10000; Voice
   158805000; West Donegal PD          ; Narrow FM           ;      10000; Voice
   158955000; Manheim Boro PD          ; Narrow FM           ;      10000; Public Works
   159395000; Dispactch (Unknown Org)  ; Narrow FM           ;      10000; Voice
   159735000; Chester County Fire      ; Narrow FM           ;      10000; Public Works,Voice
   160065000; Rohrers Quarry (Ops)     ; Narrow FM           ;      10000; Voice
   160170000; Shultz Lancaster District 2; Narrow FM           ;      10000; Transportation
   160185000; Chester County Dispatch  ; Narrow FM           ;       5000; Voice
   160625000; Marine SEA 60            ; Narrow FM           ;      10000; Voice,Transportation
   160635000; Amtrak Conewago          ; Narrow FM           ;      10000; Transportation,Utilities
   160650000; Marine SEA 01            ; Narrow FM           ;      10000; Voice,Transportation
   160675000; Marine SEA 61            ; Narrow FM           ;      10000; Voice,Transportation
   160700000; Marine SEA 02            ; Narrow FM           ;      10000; Voice,Transportation
   160725000; Marine SEA 62            ; Narrow FM           ;      10000; Voice,Transportation
   160750000; Marine SEA 03            ; Narrow FM           ;      10000; Voice,Transportation
   160775000; Marine SEA 63            ; Narrow FM           ;      10000; Voice,Transportation
   160800000; Marine SEA 04            ; Narrow FM           ;      10000; Voice,Transportation
   160825000; Marine SEA 64            ; Narrow FM           ;      10000; Voice,Transportation
   160850000; Marine SEA 05            ; Narrow FM           ;      10000; Voice,Transportation
   160875000; Marine SEA 65            ; Narrow FM           ;      10000; Voice,Transportation
   160925000; Marine SEA 66            ; Narrow FM           ;      10000; Voice,Transportation
   160950000; Marine SEA 07            ; Narrow FM           ;      10000; Voice,Transportation
   161500000; Marine SEA 18            ; Narrow FM           ;      10000; Voice,Transportation
   161525000; Marine SEA 78            ; Narrow FM           ;      10000; Voice,Transportation
   161550000; Marine SEA 19            ; Narrow FM           ;      10000; Voice,Transportation
   161575000; Marine SEA 79            ; Narrow FM           ;      10000; Voice,Transportation
   161600000; Marine SEA 20            ; Narrow FM           ;      10000; Voice,Transportation
   161625000; Marine SEA 80            ; Narrow FM           ;      10000; Voice,Transportation
   161650000; Marine SEA 21            ; Narrow FM           ;      10000; Voice,Transportation
   161675000; Marine SEA 81            ; Narrow FM           ;      10000; Voice,Transportation
   161700000; Marine SEA 22            ; Narrow FM           ;      10000; Voice,Transportation
   161725000; Marine SEA 82            ; Narrow FM           ;      10000; Voice,Transportation
   161750000; Marine SEA 23            ; Narrow FM           ;      10000; Voice,Transportation
   161775000; Marine SEA 83            ; Narrow FM           ;      10000; Voice,Transportation
   161800000; Marine SEA 24            ; Narrow FM           ;      10000; Voice,Transportation
   161825000; Marine SEA 84            ; Narrow FM           ;      10000; Voice,Transportation
   161850000; Marine SEA 25            ; Narrow FM           ;      10000; Voice,Transportation
   161875000; Marine SEA 85            ; Narrow FM           ;      10000; Voice,Transportation
   161900000; Marine SEA 26            ; Narrow FM           ;      10000; Voice,Transportation
   161925000; Marine SEA 86            ; Narrow FM           ;      10000; Voice,Transportation
   161950000; Marine SEA 27            ; Narrow FM           ;      10000; Voice,Transportation
   161975000; Marine AIS 87            ; Narrow FM           ;      10000; Voice,Transportation
   162000000; Marine SEA 28            ; Narrow FM           ;      10000; Voice,Transportation
   162025000; Marine AIS 88            ; Narrow FM           ;      10000; Voice,Transportation
   162400000; NOAA Weather Channel 1   ; Narrow FM           ;      10000; Data,Voice
   162425000; NOAA Weather Channel 2   ; Narrow FM           ;      10000; Data,Voice
   162450000; NOAA Weather Channel 3   ; Narrow FM           ;      10000; Data,Voice
   162475000; NOAA Weather Channel 4   ; Narrow FM           ;      10000; Data,Voice
   162500000; NOAA Weather Channel 5   ; Narrow FM           ;      10000; Data,Voice
   162525000; NOAA Weather Channel 6   ; Narrow FM           ;      10000; Data,Voice
   162550000; NOAA Weather Channel 7   ; Narrow FM           ;      10000; Data,Voice
   163462500; Muir Army Airfield       ; Narrow FM           ;      10000; Aircraft
   180310000; ATSC Channel 8 Carrier   ; Narrow FM           ;      10000; Data
   204310000; ATSC Channel 12 Carrier  ; Narrow FM           ;      10000; Data
   217049000; Strange Pulser           ; Narrow FM           ;      80000; Data
   222000000; Start of 1.25M Band      ; Demod Off           ;      10000; Ham
   224020000; K3ZMC Pottstown          ; Narrow FM           ;      10000; Ham
   224040000; N3JCN Parkesburg         ; Narrow FM           ;      10000; Ham,Voice
   224140000; N3TJJ Summit Station     ; Narrow FM           ;      10000; Ham
   224320000; N3FYI - Lancaster        ; Narrow FM           ;      10000; Ham,Voice
   224320000; WA3WPA Rawlinsville      ; Narrow FM           ;      10000; Ham,Voice
   224420000; N3DAP Wilkes-Barre       ; Narrow FM           ;       8200; Ham,Voice
   224440000; KA3CNT Lititz            ; Narrow FM           ;      10000; Ham,Voice
   224640000; K3TI Reading             ; Narrow FM           ;      10000; Ham,Voice
   224780000; AK3E Buck                ; Narrow FM           ;      10000; Ham,Voice
   224820000; N3TPL Cornwall           ; Narrow FM           ;      10000; Ham,Voice
   224840000; KA3CNT Cornwall          ; Narrow FM           ;      10000; Ham,Voice
   225000000; End of 1.25M Band        ; Demod Off           ;      10000; Ham
   225790000; RTTY Beacon?             ; USB                 ;       2700; Data
   315000000; TMPS Sensors             ; Narrow FM           ;      20000; Data
   420000000; Start of 70cm Band       ; Demod Off           ;       5000; Ham
   432100000; 70CM Calling             ; Narrow FM           ;      10000; Ham
   433960000; ISM 433 Devices          ; Narrow FM           ;       5000; Data,Utilities
   436795000; SO-50                    ; Narrow FM           ;      10000; Satellite,Voice
   441475000; N3FYI Input              ; Narrow FM           ;      10000; Voice
   441900000; W3RC Hazleton            ; Narrow FM           ;      10000; Ham,Schuylkill County,Voice
   442000000; KJ6AL Parkesburg         ; Narrow FM           ;      10000; Ham
   442050000; N3KZ York                ; Narrow FM           ;      10000; Ham
   442150000; W3BXW Cornwall BEARS     ; Narrow FM           ;      10000; Ham
   442200000; N3KZ  Summerdale         ; Narrow FM           ;      10000; Ham,Voice
   442400000; N3KZ Eagles Peak         ; Narrow FM           ;      10000; Ham
   443000000; W3XN Pottsville          ; Narrow FM           ;      10000; Ham,Schuylkill County,Voice
   443250000; K3IR Manheim SPARC       ; Narrow FM           ;      10000; Ham
   443550000; K3ZMC Earlville          ; AM                  ;      10000; Ham,Voice
   443800000; N3KZ Valley Forge        ; Narrow FM           ;      10000; Ham,Voice
   443975000; KB3OUC Reading Mt. Penn  ; Narrow FM           ;      10000; Ham
   444056250; KB3TWW Etters            ; Narrow FM           ;      10000; Digital/DMR,Voice
   444250000; W3SWR Oxford             ; Narrow FM           ;      10000; Ham
   444250000; W3SBA York               ; Narrow FM           ;      10000; Ham
   444350000; K3TI Reading             ; Narrow FM           ;      10000; Ham
   444500000; W3SBA York               ; Narrow FM           ;      10000; Ham
   444600000; N3EZI Kirkwood           ; Narrow FM           ;      10000; Ham
   444650000; W3XP Ephrata             ; Narrow FM           ;      10000; Ham
   444700000; KM3W Chester             ; Narrow FM           ;      10000; Ham,Voice
   444950000; W3SC Delano              ; Narrow FM           ;      10000; Schuylkill County,Voice
